area,bedrooms,bathrooms,stories,parking,mainroad,guestroom,basement,hotwaterheating,airconditioning,furnishingstatus,price
7420,4,2,3,2,yes,no,no,no,yes,furnished,13300000
8960,4,4,4,3,yes,no,no,no,yes,furnished,12250000
9960,3,2,2,2,yes,no,yes,no,no,semi-furnished,12250000
7500,4,2,2,3,yes,no,yes,no,yes,furnished,12215000
7420,4,1,2,2,yes,yes,yes,no,yes,furnished,11410000
7500,3,3,1,2,yes,no,yes,no,no,semi-furnished,10850000
8580,4,3,4,2,yes,no,no,no,yes,semi-furnished,10150000
16200,5,3,2,0,yes,no,no,no,no,unfurnished,10150000
8100,4,1,2,2,yes,yes,yes,no,yes,furnished,9870000
5750,3,2,4,1,yes,yes,no,no,yes,furnished,9800000
13200,3,1,2,3,yes,no,yes,no,no,furnished,9681000
6000,4,3,2,1,yes,yes,yes,no,no,semi-furnished,9310000
6550,3,2,2,1,yes,no,yes,no,yes,semi-furnished,9240000
3500,4,2,2,2,yes,no,no,no,no,furnished,9100000
7800,3,2,2,0,yes,no,no,no,yes,semi-furnished,8960000
6000,2,1,1,2,yes,no,yes,no,no,furnished,8890000
6600,2,1,1,3,yes,yes,no,no,no,unfurnished,8855000
8500,3,2,4,2,yes,no,no,no,yes,furnished,8750000
4600,3,2,2,0,yes,no,no,no,yes,semi-furnished,8680000
6420,3,2,3,2,yes,no,yes,no,yes,furnished,8645000
4320,3,1,2,3,yes,no,no,no,no,semi-furnished,8575000
7155,3,2,1,3,yes,no,yes,no,no,semi-furnished,8540000
7000,2,2,1,2,yes,no,no,no,yes,furnished,8463000
6000,4,1,2,1,yes,no,yes,no,no,semi-furnished,8400000
7260,2,1,1,1,yes,no,no,no,no,semi-furnished,8400000
6200,3,2,3,1,yes,yes,no,no,yes,semi-furnished,8295000
8800,3,2,2,1,yes,no,yes,no,no,furnished,8190000
5800,3,2,1,1,yes,no,no,no,yes,furnished,8120000
5500,4,2,2,1,yes,no,yes,no,yes,semi-furnished,8080900
4500,3,2,2,0,yes,no,no,no,yes,furnished,7980000
7980,3,1,2,0,yes,no,yes,no,no,semi-furnished,7962500
5900,3,1,1,1,yes,no,no,no,yes,furnished,7950000
5200,3,1,1,2,yes,no,no,no,no,unfurnished,7900000
6500,3,1,2,1,yes,no,no,no,no,furnished,7850000
5500,3,1,2,1,yes,no,yes,no,no,semi-furnished,7700000
6000,3,1,2,1,yes,no,no,no,no,semi-furnished,7560000
7000,3,1,1,1,yes,no,no,no,yes,furnished,7350000
6000,3,1,1,0,yes,no,yes,no,no,furnished,7343000
5960,3,1,1,2,yes,no,no,no,no,semi-furnished,7245000
6000,3,2,2,1,yes,no,yes,no,no,semi-furnished,7210000
6800,2,1,1,1,yes,no,no,no,no,semi-furnished,7070000
5400,3,2,1,2,yes,no,no,no,no,furnished,7000000
7152,3,1,1,0,yes,no,yes,no,no,semi-furnished,6930000
5000,2,1,1,2,yes,no,no,no,yes,furnished,6825000
4600,3,1,2,0,yes,no,no,no,no,furnished,6800000
6000,2,1,2,1,yes,no,yes,no,no,semi-furnished,6720000
3640,2,1,1,1,yes,no,no,no,no,unfurnished,6650000
4000,3,1,1,1,yes,no,no,no,no,semi-furnished,6440000
4500,3,1,2,0,no,no,no,no,no,semi-furnished,6300000
5320,3,1,1,0,yes,no,no,no,no,semi-furnished,6250000
4160,3,1,1,0,yes,no,no,no,no,unfurnished,6195000
3500,2,1,2,2,yes,no,no,no,no,furnished,6100000
4000,3,1,1,2,yes,no,no,no,no,unfurnished,6000000
3620,2,1,1,2,no,no,no,no,no,unfurnished,5600000
3850,3,1,1,0,yes,no,no,no,no,semi-furnished,5425000
2800,2,1,1,1,yes,no,no,no,no,semi-furnished,5390000
3060,3,1,1,0,yes,no,no,no,no,semi-furnished,5320000
3180,3,1,1,0,no,no,no,no,no,unfurnished,5250000
3520,3,1,1,0,no,no,no,no,no,semi-furnished,5110000
3000,2,1,1,2,yes,no,no,no,no,unfurnished,5040000
2850,2,1,1,1,no,no,no,no,no,unfurnished,4900000
3400,2,1,1,1,yes,no,no,no,no,furnished,4830000
3500,3,1,1,0,no,no,no,no,no,unfurnished,4760000
2500,2,1,1,1,no,no,no,no,no,semi-furnished,4340000
2600,2,1,1,0,yes,no,no,no,no,unfurnished,4200000
2835,2,1,1,0,no,no,no,no,no,unfurnished,4060000
2700,2,1,1,0,no,no,no,no,no,unfurnished,3850000
2650,2,1,1,0,no,no,no,no,no,semi-furnished,3500000
